fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,1, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,5, 
exact_029.gr,12,0, 
exact_031.gr,11,4, 
exact_033.gr,12,19, 
exact_035.gr,9,1, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,-1,505,std::bad_alloc
exact_045.gr,11,100, 
from_to.sh: line 21:  6105 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_049.gr,10,38, 
exact_051.gr,-1,392,std::bad_alloc
exact_053.gr,7,0, 
exact_055.gr,9,1, 
exact_057.gr,-1,246,std::bad_alloc
exact_059.gr,-1,2915,std::bad_alloc
exact_061.gr,-1,386,std::bad_alloc
exact_063.gr,-1,212,std::bad_alloc
exact_065.gr,11,12, 
exact_067.gr,9,3, 
exact_069.gr,6,0, 
exact_071.gr,-1,201,std::bad_alloc
exact_073.gr,-1,446,std::bad_alloc
exact_075.gr,-1,438,std::bad_alloc
exact_077.gr,-1,342,std::bad_alloc
exact_079.gr,9,2, 
exact_081.gr,7,0, 
exact_083.gr,-1,726,std::bad_alloc
from_to.sh: line 21:  6327 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_087.gr,13,1, 
exact_089.gr,-1,530,std::bad_alloc
exact_091.gr,9,2, 
exact_093.gr,6,0, 
exact_095.gr,8,0, 
exact_097.gr,7,0, 
exact_099.gr,-1,183,std::bad_alloc
exact_101.gr,-1,280,std::bad_alloc
exact_103.gr,-1,314,std::bad_alloc
exact_105.gr,9,7, 
exact_107.gr,-1,226,std::bad_alloc
exact_109.gr,9,6, 
exact_111.gr,-1,327,std::bad_alloc
exact_113.gr,6,0, 
exact_115.gr,-1,267,std::bad_alloc
exact_117.gr,-1,307,std::bad_alloc
exact_119.gr,-1,381,std::bad_alloc
exact_121.gr,-1,184,std::bad_alloc
exact_123.gr,-1,433,std::bad_alloc
exact_125.gr,10,186, 
exact_127.gr,8,0, 
exact_129.gr,-1,383,std::bad_alloc
exact_131.gr,-1,326,std::bad_alloc
exact_133.gr,-1,465,std::bad_alloc
exact_135.gr,-1,283,std::bad_alloc
from_to.sh: line 21:  6677 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_137.gr,-1,1189,std::bad_alloc
exact_139.gr,-1,349,std::bad_alloc
exact_141.gr,-1,386,std::bad_alloc
exact_143.gr,-1,201,std::bad_alloc
exact_145.gr,7,0, 
exact_147.gr,-1,321,std::bad_alloc
exact_149.gr,-1,464,std::bad_alloc
exact_151.gr,7,0, 
exact_153.gr,-1,365,std::bad_alloc
exact_155.gr,-1,250,std::bad_alloc
exact_157.gr,-1,262,std::bad_alloc
exact_159.gr,-1,287,std::bad_alloc
exact_161.gr,-1,272,std::bad_alloc
exact_163.gr,-1,201,std::bad_alloc
exact_165.gr,9,3, 
exact_167.gr,-1,210,std::bad_alloc
exact_169.gr,-1,284,std::bad_alloc
exact_171.gr,-1,249,std::bad_alloc
exact_173.gr,-1,465,std::bad_alloc
exact_175.gr,-1,204,std::bad_alloc
exact_177.gr,9,24, 
exact_179.gr,-1,277,std::bad_alloc
exact_181.gr,10,73, 
exact_183.gr,-1,371,std::bad_alloc
exact_185.gr,-1,548,std::bad_alloc
exact_187.gr,-1,167,std::bad_alloc
exact_189.gr,8,0, 
exact_191.gr,-1,237,std::bad_alloc
exact_193.gr,-1,356,std::bad_alloc
exact_195.gr,-1,253,std::bad_alloc
exact_197.gr,-1,406,std::bad_alloc
exact_199.gr,-1,283,std::bad_alloc
