fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,4, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,1, 
exact_025.gr,8,0, 
exact_027.gr,11,23, 
exact_029.gr,12,27, 
exact_031.gr,11,37, 
exact_033.gr,12,40, 
exact_035.gr,9,2, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,-1,357,std::bad_alloc
exact_045.gr,11,87, 
exact_047.gr,-1,722,std::bad_alloc
exact_049.gr,10,38, 
exact_051.gr,-1,385,std::bad_alloc
exact_053.gr,7,0, 
exact_055.gr,9,5, 
exact_057.gr,-1,180,std::bad_alloc
exact_059.gr,-1,2213,std::bad_alloc
exact_061.gr,-1,251,std::bad_alloc
exact_063.gr,-1,199,std::bad_alloc
exact_065.gr,-1,236,std::bad_alloc
exact_067.gr,9,2, 
exact_069.gr,6,0, 
exact_071.gr,-1,204,std::bad_alloc
exact_073.gr,-1,241,std::bad_alloc
exact_075.gr,-1,334,std::bad_alloc
exact_077.gr,-1,346,std::bad_alloc
exact_079.gr,9,2, 
exact_081.gr,7,0, 
exact_083.gr,-1,320,std::bad_alloc
exact_085.gr,-1,284,std::bad_alloc
from_to.sh: line 21:  4010 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_087.gr,-1,391,std::bad_alloc
exact_089.gr,-1,476,std::bad_alloc
exact_091.gr,9,2, 
exact_093.gr,6,0, 
exact_095.gr,8,0, 
exact_097.gr,7,0, 
exact_099.gr,-1,201,std::bad_alloc
exact_101.gr,-1,241,std::bad_alloc
exact_103.gr,-1,365,std::bad_alloc
exact_105.gr,9,6, 
exact_107.gr,-1,213,std::bad_alloc
exact_109.gr,9,5, 
exact_111.gr,-1,728,std::bad_alloc
exact_113.gr,6,0, 
exact_115.gr,-1,288,std::bad_alloc
from_to.sh: line 21:  4056 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_119.gr,-1,221,std::bad_alloc
exact_121.gr,-1,161,std::bad_alloc
exact_123.gr,-1,333,std::bad_alloc
exact_125.gr,10,232, 
exact_127.gr,8,1, 
exact_129.gr,-1,312,std::bad_alloc
exact_131.gr,-1,259,std::bad_alloc
exact_133.gr,-1,359,std::bad_alloc
exact_135.gr,-1,229,std::bad_alloc
exact_137.gr,-1,970,std::bad_alloc
exact_139.gr,-1,247,std::bad_alloc
exact_141.gr,-1,277,std::bad_alloc
exact_143.gr,-1,596,std::bad_alloc
exact_145.gr,7,0, 
exact_147.gr,-1,247,std::bad_alloc
exact_149.gr,-1,366,std::bad_alloc
exact_151.gr,7,16, 
exact_153.gr,-1,467,std::bad_alloc
exact_155.gr,-1,207,std::bad_alloc
exact_157.gr,-1,217,std::bad_alloc
exact_159.gr,-1,880,std::bad_alloc
exact_161.gr,-1,337,std::bad_alloc
exact_163.gr,-1,185,std::bad_alloc
exact_165.gr,9,2, 
exact_167.gr,-1,195,std::bad_alloc
exact_169.gr,-1,234,std::bad_alloc
exact_171.gr,-1,221,std::bad_alloc
exact_173.gr,-1,890,std::bad_alloc
exact_175.gr,-1,188,std::bad_alloc
exact_177.gr,9,23, 
exact_179.gr,-1,194,std::bad_alloc
exact_181.gr,10,61, 
exact_183.gr,-1,274,std::bad_alloc
exact_185.gr,-1,394,std::bad_alloc
exact_187.gr,-1,153,std::bad_alloc
exact_189.gr,-1,197,std::bad_alloc
from_to.sh: line 21:  5309 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_191.gr,-1,163,std::bad_alloc
from_to.sh: line 21:  5312 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_193.gr,-1,692,std::bad_alloc
exact_195.gr,-1,214,std::bad_alloc
exact_197.gr,-1,321,std::bad_alloc
exact_199.gr,-1,189,std::bad_alloc
