fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0.1, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0.1, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,0.3, 
exact_045.gr,11,7, 
exact_047.gr,25,3.4, 
exact_049.gr,10,0.4, 
exact_051.gr,11,0, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,13,150.1, 
exact_059.gr,42,34.3, 
exact_061.gr,13,32.8, 
exact_063.gr,12,1.1, 
exact_065.gr,11,0, 
exact_067.gr,9,0.4, 
exact_069.gr,6,0, 
exact_071.gr,15,0.5, 
exact_073.gr,16,3.8, 
exact_075.gr,-1,602.3,Ran out of time, spent 601.000000 seconds.
exact_077.gr,12,0.8, 
exact_079.gr,9,0.3, 
exact_081.gr,7,0, 
exact_083.gr,22,517, 
exact_085.gr,13,117.7, 
exact_087.gr,13,0, 
exact_089.gr,15,0.1, 
exact_091.gr,9,0.2, 
exact_093.gr,6,0, 
exact_095.gr,8,0.2, 
exact_097.gr,7,0, 
exact_099.gr,13,32.1, 
exact_101.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_103.gr,13,76.2, 
exact_105.gr,9,0.4, 
exact_107.gr,11,28.5, 
exact_109.gr,9,1.3, 
exact_111.gr,18,1.4, 
exact_113.gr,6,0, 
exact_115.gr,12,17.9, 
exact_117.gr,-1,605.4,Ran out of time, spent 605.000000 seconds.
exact_119.gr,-1,603.2,Ran out of time, spent 601.000000 seconds.
exact_121.gr,-1,606.9,Ran out of time, spent 601.000000 seconds.
exact_123.gr,-1,601.4,Ran out of time, spent 601.000000 seconds.
exact_125.gr,10,2.5, 
exact_127.gr,8,0, 
exact_129.gr,-1,600.8,Ran out of time, spent 601.000000 seconds.
exact_131.gr,-1,601.3,Ran out of time, spent 601.000000 seconds.
exact_133.gr,15,39.9, 
exact_135.gr,-1,601.1,Ran out of time, spent 601.000000 seconds.
exact_137.gr,58,0.1, 
exact_139.gr,-1,604.3,Ran out of time, spent 601.000000 seconds.
exact_141.gr,13,123.1, 
exact_143.gr,16,246.2, 
exact_145.gr,7,0.1, 
exact_147.gr,-1,612.1,Ran out of time, spent 602.000000 seconds.
exact_149.gr,-1,608.4,Ran out of time, spent 603.000000 seconds.
exact_151.gr,7,0, 
exact_155.gr,-1,614.1,Ran out of time, spent 604.000000 seconds.
exact_157.gr,11,43.5, 
exact_161.gr,13,10.6, 
exact_163.gr,-1,600.7,Ran out of time, spent 601.000000 seconds.
exact_165.gr,9,3.3, 
exact_167.gr,-1,601.6,Ran out of time, spent 602.000000 seconds.
exact_169.gr,-1,600.6,Ran out of time, spent 601.000000 seconds.
exact_171.gr,-1,601.3,Ran out of time, spent 601.000000 seconds.
exact_175.gr,-1,611.8,Ran out of time, spent 601.000000 seconds.
exact_177.gr,9,0.6, 
exact_179.gr,-1,601.3,Ran out of time, spent 601.000000 seconds.
exact_181.gr,10,4.4, 
exact_183.gr,-1,600.9,Ran out of time, spent 601.000000 seconds.
exact_185.gr,-1,619.2,Ran out of time, spent 619.000000 seconds.
exact_187.gr,-1,605.5,Ran out of time, spent 601.000000 seconds.
exact_189.gr,8,0, 
exact_191.gr,-1,603.4,Ran out of time, spent 603.000000 seconds.
exact_193.gr,-1,607.9,Ran out of time, spent 602.000000 seconds.
