fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,1, 
exact_045.gr,11,8, 
exact_047.gr,25,3, 
exact_049.gr,10,1, 
exact_051.gr,11,0, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,13,157, 
exact_059.gr,42,33, 
exact_061.gr,13,39, 
exact_063.gr,12,2, 
exact_065.gr,11,0, 
exact_067.gr,9,0, 
exact_069.gr,6,0, 
exact_071.gr,15,1, 
exact_073.gr,16,5, 
exact_075.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_077.gr,12,1, 
exact_079.gr,9,0, 
exact_081.gr,7,0, 
exact_083.gr,22,553, 
exact_085.gr,13,114, 
exact_087.gr,13,0, 
exact_089.gr,15,0, 
exact_091.gr,9,0, 
exact_093.gr,6,0, 
exact_095.gr,8,0, 
exact_097.gr,7,1, 
exact_099.gr,13,126, 
exact_101.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_103.gr,13,79, 
exact_105.gr,9,1, 
exact_107.gr,11,32, 
exact_109.gr,9,1, 
exact_111.gr,18,2, 
exact_113.gr,6,0, 
exact_115.gr,12,22, 
exact_117.gr,-1,602,Ran out of time, spent 601.000000 seconds.
exact_119.gr,-1,603,Ran out of time, spent 601.000000 seconds.
exact_121.gr,-1,605,Ran out of time, spent 601.000000 seconds.
exact_123.gr,-1,602,Ran out of time, spent 602.000000 seconds.
exact_125.gr,10,3, 
exact_127.gr,8,0, 
exact_129.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_131.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_133.gr,15,37, 
exact_135.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_137.gr,58,0, 
exact_139.gr,-1,606,Ran out of time, spent 603.000000 seconds.
exact_141.gr,13,138, 
exact_143.gr,16,228, 
exact_145.gr,7,0, 
exact_147.gr,-1,608,Ran out of time, spent 601.000000 seconds.
exact_149.gr,-1,611,Ran out of time, spent 606.000000 seconds.
exact_151.gr,7,0, 
exact_155.gr,-1,613,Ran out of time, spent 604.000000 seconds.
exact_157.gr,11,44, 
exact_161.gr,13,13, 
exact_163.gr,-1,602,Ran out of time, spent 602.000000 seconds.
exact_165.gr,9,5, 
exact_167.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_169.gr,-1,602,Ran out of time, spent 602.000000 seconds.
exact_171.gr,-1,602,Ran out of time, spent 602.000000 seconds.
exact_175.gr,-1,613,Ran out of time, spent 603.000000 seconds.
exact_177.gr,9,1, 
exact_179.gr,-1,604,Ran out of time, spent 604.000000 seconds.
exact_181.gr,10,7, 
exact_183.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_185.gr,-1,605,Ran out of time, spent 604.000000 seconds.
exact_187.gr,-1,604,Ran out of time, spent 601.000000 seconds.
exact_189.gr,8,0, 
exact_191.gr,-1,601,Ran out of time, spent 601.000000 seconds.
