fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,1, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,10, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,74, 
exact_029.gr,12,153, 
exact_031.gr,11,58, 
exact_033.gr,12,69, 
exact_035.gr,9,2, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,-1,836,std::bad_alloc
exact_045.gr,11,454, 
exact_047.gr,-1,1516,std::bad_alloc
exact_049.gr,10,50, 
exact_051.gr,-1,838,std::bad_alloc
exact_053.gr,7,0, 
exact_055.gr,9,2, 
