fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,1, 
exact_045.gr,11,62, 
exact_047.gr,25,4, 
exact_049.gr,10,1, 
exact_051.gr,11,0, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_059.gr,42,9, 
exact_061.gr,13,133, 
exact_063.gr,12,2, 
exact_065.gr,11,0, 
exact_067.gr,9,1, 
exact_069.gr,6,0, 
exact_071.gr,15,1, 
exact_073.gr,16,6, 
exact_075.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_077.gr,12,2, 
exact_079.gr,9,0, 
exact_081.gr,7,0, 
exact_083.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_085.gr,13,277, 
exact_087.gr,13,0, 
exact_089.gr,15,0, 
exact_091.gr,9,0, 
exact_093.gr,6,0, 
exact_095.gr,8,0, 
exact_097.gr,7,0, 
exact_099.gr,13,287, 
exact_101.gr,-1,514,std::bad_alloc
exact_103.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_105.gr,9,1, 
exact_107.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_109.gr,9,2, 
exact_111.gr,18,2, 
exact_113.gr,6,0, 
exact_115.gr,-1,602,Ran out of time, spent 602.000000 seconds.
exact_117.gr,-1,2077,Ran out of time, spent 2074.000000 seconds.
exact_119.gr,-1,2458,std::bad_alloc
from_to.sh: line 21: 20381 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_123.gr,-1,606,Ran out of time, spent 606.000000 seconds.
exact_125.gr,10,6, 
exact_127.gr,8,0, 
exact_129.gr,-1,630,std::bad_alloc
from_to.sh: line 21: 20417 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_133.gr,15,31, 
exact_135.gr,-1,591,std::bad_alloc
exact_137.gr,58,0, 
exact_139.gr,-1,1782,std::bad_alloc
exact_141.gr,-1,603,Ran out of time, spent 603.000000 seconds.
exact_143.gr,16,177, 
exact_145.gr,7,2, 
exact_147.gr,-1,972,std::bad_alloc
from_to.sh: line 21: 20978 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_151.gr,7,0, 
exact_153.gr,-1,1417,Ran out of time, spent 1414.000000 seconds.
exact_155.gr,-1,722,std::bad_alloc
exact_157.gr,11,491, 
from_to.sh: line 21: 21100 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_161.gr,13,22, 
from_to.sh: line 21: 21184 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_165.gr,9,7, 
exact_167.gr,-1,776,std::bad_alloc
from_to.sh: line 21: 21208 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 21223 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_173.gr,-1,1685,Ran out of time, spent 1682.000000 seconds.
from_to.sh: line 21: 21369 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_177.gr,9,2, 
exact_179.gr,-1,880,std::bad_alloc
exact_181.gr,10,11, 
exact_183.gr,-1,462,std::bad_alloc
exact_185.gr,-1,602,Ran out of time, spent 601.000000 seconds.
from_to.sh: line 21: 21928 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_189.gr,8,0, 
from_to.sh: line 21: 22030 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 22038 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_195.gr,-1,1302,std::bad_alloc
from_to.sh: line 21: 22071 Terminated              ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 22266 Terminated              ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
