fn,treedepth,time,error
exact_001.gr,6,0, 
exact_003.gr,11,0, 
exact_005.gr,5,0, 
exact_007.gr,9,0, 
exact_009.gr,6,0, 
exact_011.gr,5,0, 
exact_013.gr,7,0, 
exact_015.gr,5,0, 
exact_017.gr,10,0, 
exact_019.gr,7,0, 
exact_021.gr,5,0, 
exact_023.gr,7,0, 
exact_025.gr,8,0, 
exact_027.gr,11,0, 
exact_029.gr,12,0, 
exact_031.gr,11,0, 
exact_033.gr,12,0, 
exact_035.gr,9,0, 
exact_037.gr,7,0, 
exact_039.gr,7,0, 
exact_041.gr,5,0, 
exact_043.gr,14,1, 
exact_045.gr,11,148, 
exact_047.gr,25,11, 
exact_049.gr,10,3, 
exact_051.gr,11,1, 
exact_053.gr,7,0, 
exact_055.gr,9,0, 
exact_057.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_059.gr,42,12, 
exact_061.gr,13,286, 
exact_063.gr,12,10, 
exact_065.gr,11,1, 
exact_067.gr,9,1, 
exact_069.gr,6,0, 
exact_071.gr,15,8, 
exact_073.gr,16,84, 
exact_075.gr,-1,605,Ran out of time, spent 605.000000 seconds.
exact_077.gr,12,11, 
exact_079.gr,9,4, 
exact_081.gr,7,0, 
exact_083.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_085.gr,-1,603,Ran out of time, spent 603.000000 seconds.
exact_087.gr,13,0, 
exact_089.gr,15,0, 
exact_091.gr,9,1, 
exact_093.gr,6,0, 
exact_095.gr,8,1, 
exact_097.gr,7,0, 
exact_099.gr,-1,589,std::bad_alloc
from_to.sh: line 21: 14650 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_103.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_105.gr,9,2, 
exact_107.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_109.gr,9,18, 
exact_111.gr,18,18, 
exact_113.gr,6,0, 
exact_115.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_117.gr,-1,2556,Ran out of time, spent 2555.000000 seconds.
exact_119.gr,-1,2203,std::bad_alloc
from_to.sh: line 21: 14815 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_123.gr,-1,602,Ran out of time, spent 601.000000 seconds.
exact_125.gr,10,11, 
exact_127.gr,8,0, 
from_to.sh: line 21: 14849 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 14886 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_133.gr,15,96, 
from_to.sh: line 21: 14910 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_137.gr,58,0, 
exact_139.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_141.gr,-1,601,Ran out of time, spent 601.000000 seconds.
exact_143.gr,-1,608,Ran out of time, spent 608.000000 seconds.
exact_145.gr,7,6, 
from_to.sh: line 21: 14965 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 14996 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_151.gr,7,0, 
exact_153.gr,-1,1812,Ran out of time, spent 1810.000000 seconds.
from_to.sh: line 21: 15528 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_157.gr,-1,601,Ran out of time, spent 601.000000 seconds.
from_to.sh: line 21: 15562 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_161.gr,13,212, 
from_to.sh: line 21: 15829 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_165.gr,9,77, 
from_to.sh: line 21: 15852 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 15875 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
from_to.sh: line 21: 15895 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_173.gr,-1,608,Ran out of time, spent 607.000000 seconds.
exact_175.gr,-1,1089,std::bad_alloc
exact_177.gr,9,27, 
from_to.sh: line 21: 15940 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_181.gr,10,118, 
exact_183.gr,-1,499,std::bad_alloc
exact_185.gr,-1,847,Ran out of time, spent 846.000000 seconds.
from_to.sh: line 21: 15974 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
exact_189.gr,8,6, 
from_to.sh: line 21: 16001 Killed                  ./main ${INPUTDIR}exact_${graph}.gr ${OUTPUTDIR}exact_${graph}.tree
